기준일,종목코드,종목명,수량,현재가,비중(%),섹터,국가,통화,환율
2025-06-30,HSY,허쉬(HSY),63,165.95,4.26,Consumer Staples,미국,USD,1352.9
2025-06-30,IDXX,아이덱스 래보라토리스(IDXX),24,536.34,5.24,Health Care,미국,USD,1352.9
2025-06-30,HD,홈디포(HD),29,366.64,4.33,Industrials,미국,USD,1352.9
2025-06-30,OTIS,오티스 월드와이드(OTIS),102,99.02,4.11,Industrials,미국,USD,1352.9
2025-06-30,MNST,몬스터 베버리지(MNST),152,62.64,3.88,Consumer Staples,미국,USD,1352.9
2025-06-30,AXP,아메리칸 익스프레스(AXP),34,318.98,4.42,Financials,미국,USD,1352.9
2025-06-30,067160.KQ,SOOP(067160.KQ),141,91200,3.87,Communication Services,한국,KRW,1
2025-06-30,DEO,디아지오(DEO),70,100.84,2.88,Consumer Staples,미국,USD,1352.9
2025-06-30,000858.SZ,오량액(000858.SZ),400,118.9,2.7,Consumer Staples,중국,CNY,188.85
2025-06-30,3690.HK,메이투안(3690.HK),500,125.3,3.25,Information Technology,홍콩,HKD,172.345
2025-06-30,2801 JT,깃코만(2801 JT),700,1338,2.65,Consumer Staples,일본,JPY,9.3958
2025-06-30,KOSPI,KOSPI,,3071,,,,,
2025-06-30,S&P,SPX,,6204,,,,,
2025-07-31,035900.KQ,JYP(035900.KQ),398,72700,8.62,Communication Services,한국,KRW,1
2025-07-31,BABA,알리바바(BABA),143,120.63,7.17,Information Technology,미국,USD,1395.65
2025-07-31,ROL,롤린스(ROL),268,57.27,6.38,Industrials,미국,USD,1395.65
2025-07-31,PM,필립모리스(PM),79,164.05,5.39,Consumer Staples,미국,USD,1395.65
2025-07-31,0700.HK,텐센트(0700.HK),200,550,5.83,Information Technology,홍콩,HKD,177.79
2025-07-31,GRAB,그랩 홀딩스(GRAB),2344,4.89,4.77,Information Technology,미국,USD,1395.65
2025-07-31,RACE,페라리(RACE),24,443.39,4.43,Consumer Discretionary,미국,USD,1395.65
2025-07-31,RMS.PA,에르메스(RMS.PA),5,2151,5.1,Consumer Discretionary,프랑스,EUR,1592.79
2025-07-31,DASH,도어대시(DASH),57,250.25,5.93,Information Technology,미국,USD,1395.65
2025-07-31,ABNB,에어비앤비(ABNB),89,132.41,4.9,Consumer Discretionary,미국,USD,1395.65
2025-07-31,HSY,허쉬(HSY),63,186.13,4.88,Consumer Staples,미국,USD,1395.65
2025-07-31,IDXX,아이덱스 래보라토리스(IDXX),24,534.31,5.33,Health Care,미국,USD,1395.65
2025-07-31,HD,홈디포(HD),29,367.51,4.43,Industrials,미국,USD,1395.65
2025-07-31,OTIS,오티스 월드와이드(OTIS),102,85.69,3.63,Industrials,미국,USD,1395.65
2025-07-31,MNST,몬스터 베버리지(MNST),172,58.75,4.2,Consumer Staples,미국,USD,1395.65
2025-07-31,AXP,아메리칸 익스프레스(AXP),34,299.31,4.23,Financials,미국,USD,1395.65
2025-07-31,067160.KQ,SOOP(067160.KQ),141,79500,3.34,Communication Services,한국,KRW,1
2025-07-31,DEO,디아지오(DEO),70,97.95,2.85,Consumer Staples,미국,USD,1395.65
2025-07-31,000858.SZ,오량액(000858.SZ),400,121.15,2.8,Consumer Staples,중국,CNY,193.83
2025-07-31,3690.HK,메이투안(3690.HK),500,121.6,3.22,Information Technology,홍콩,HKD,177.79
2025-07-31,2801 JT,깃코만(2801 JT),700,1324,2.56,Consumer Staples,일본,JPY,9.2537
2025-07-31,KOSPI,KOSPI,,3245,,,,,
2025-07-31,S&P,SPX,,6339,,,,,
2025-08-31,035900.KQ,JYP(035900.KQ),398,72700,8.21,Communication Services,한국,KRW,1
2025-08-31,BABA,알리바바(BABA),143,135,7.61,Information Technology,미국,USD,1388.97
2025-08-31,ROL,롤린스(ROL),268,56.54,5.97,Industrials,미국,USD,1388.97
2025-08-31,PM,필립모리스(PM),79,167.13,5.2,Consumer Staples,미국,USD,1388.97
